wpPostId,title,slug,url,parentId,mimeType,width,height,attachedFile
557,WhatsApp Image 2022-07-21 at 7.21.26 PM,whatsapp-image-2022-07-21-at-7-21-26-pm,https://editoriallarueca.com/wp-content/uploads/WhatsApp-Image-2022-07-21-at-7.21.26-PM.jpeg,,image/jpeg,777,1600,WhatsApp-Image-2022-07-21-at-7.21.26-PM.jpeg
558,book-Stack_vALLE,book-stack_valle,https://editoriallarueca.com/wp-content/uploads/book-Stack_vALLE.jpg,,image/jpeg,2560,1707,book-Stack_vALLE-scaled.jpg
560,FotoPortada_Gausach,fotoportada_gausach,https://editoriallarueca.com/wp-content/uploads/FotoPortada_Gausach.jpeg,,image/jpeg,1200,1600,FotoPortada_Gausach.jpeg
561,Imagen7778,imagen7778,https://editoriallarueca.com/wp-content/uploads/Imagen7778.jpg,,image/jpeg,1920,2560,Imagen7778-scaled.jpg
562,BookCover_Salvaje,bookcover_salvaje,https://editoriallarueca.com/wp-content/uploads/BookCover_Salvaje.jpg,,image/jpeg,2560,1810,BookCover_Salvaje-scaled.jpg
564,Book_crucePasos,book_crucepasos-2,https://editoriallarueca.com/wp-content/uploads/Book_crucePasos-1.jpg,,image/jpeg,2560,1707,Book_crucePasos-1-scaled.jpg
566,FotoVeronica,fotoveronica,https://editoriallarueca.com/wp-content/uploads/FotoVeronica.tif,,,,,FotoVeronica.tif
567,Single Hard Cover with Open Book Psd Mockup,single-hard-cover-with-open-book-psd-mockup-4,https://editoriallarueca.com/wp-content/uploads/Mockup_ComerBienEnCasa-1.jpg,,image/jpeg,2560,1920,Mockup_ComerBienEnCasa-1-scaled.jpg
569,1657541819163_auto_x2,1657541819163_auto_x2,https://editoriallarueca.com/wp-content/uploads/1657541819163_auto_x2.jpg,,image/jpeg,2413,2560,1657541819163_auto_x2-scaled.jpg
570,MockUp_Halley,mockup_halley-2,https://editoriallarueca.com/wp-content/uploads/MockUp_Halley-1.jpg,,image/jpeg,2560,1707,MockUp_Halley-1-scaled.jpg
572,w_desdeBcn,w_desdebcn-3,https://editoriallarueca.com/wp-content/uploads/w_desdeBcn-2.jpg,,image/jpeg,551,827,w_desdeBcn-2.jpg
573,MockUp_DesdeBCN,mockup_desdebcn-2,https://editoriallarueca.com/wp-content/uploads/MockUp_DesdeBCN-1.jpg,,image/jpeg,2504,2560,MockUp_DesdeBCN-1-scaled.jpg
574,w_DesdeBCNconAmor_dibujo,w_desdebcnconamor_dibujo-2,https://editoriallarueca.com/wp-content/uploads/w_DesdeBCNconAmor_dibujo-1.jpg,,image/jpeg,1394,2560,w_DesdeBCNconAmor_dibujo-1-scaled.jpg
